"연령별","성별",2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"연령별","성별",귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명),귀농가구원수 (명)
"연령별","성별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"계","계",16181,-1675,-9.4,17447,1266,7.8,19776,2329,13.3,16906,-2870,-14.5
"0 - 39세","계",3413,-820,-19.4,3699,286,8.4,3842,143,3.9,3009,-833,-21.7
"40 - 49세","계",2167,-446,-17.1,2210,43,2.0,2295,85,3.8,1895,-400,-17.4
"50 - 59세","계",5377,-352,-6.1,5403,26,0.5,5890,487,9.0,4888,-1002,-17.0
"60 - 69세","계",4185,-14,-0.3,4925,740,17.7,6299,1374,27.9,5747,-552,-8.8
"70세 이상","계",1039,-43,-4.0,1210,171,16.5,1450,240,19.8,1367,-83,-5.7
