,구별,연령별,시도간전입(2019),시도간전입(2020),시도간전입(2021),2022
121,대전광역시,55 - 59세,3374,3500,3136,2988
122,대전광역시,60 - 64세,2767,3050,3020,2829
123,대전광역시,65 - 69세,1503,1748,1771,1583
124,대전광역시,70 - 74세,1001,1104,1050,938
125,대전광역시,75 - 79세,858,815,791,609
126,대전광역시,80세이상,1459,1443,1483,1278
127,울산광역시,계,40073,40475,39412,36584
128,울산광역시,0 - 4세,1691,1328,1040,964
129,울산광역시,5 - 9세,1222,1196,881,867
130,울산광역시,10 - 14세,879,858,723,695
131,울산광역시,15 - 19세,1545,1412,1293,1300
132,울산광역시,20 - 24세,4941,5432,6114,5840
133,울산광역시,25 - 29세,7343,7674,7937,7591
134,울산광역시,30 - 34세,4672,4699,4464,4389
135,울산광역시,35 - 39세,3901,3670,3130,2778
136,울산광역시,40 - 44세,2665,2785,2536,2429
137,울산광역시,45 - 49세,2555,2505,2263,1914
138,울산광역시,50 - 54세,2209,2296,2231,2062
139,울산광역시,55 - 59세,2004,1981,1894,1610
140,울산광역시,60 - 64세,1592,1735,1844,1533
141,울산광역시,65 - 69세,878,952,1013,876
142,울산광역시,70 - 74세,536,567,606,513
143,울산광역시,75 - 79세,518,484,453,396
144,울산광역시,80세이상,922,901,990,827
145,세종특별자치시,계,54017,48889,46875,40237
146,세종특별자치시,0 - 4세,3556,2656,2163,1843
147,세종특별자치시,5 - 9세,3071,2682,2320,2112
148,세종특별자치시,10 - 14세,2085,1888,1677,1594
149,세종특별자치시,15 - 19세,2213,1890,1833,1608
150,세종특별자치시,20 - 24세,3943,3931,4156,3670
151,세종특별자치시,25 - 29세,6343,6109,6237,5395
152,세종특별자치시,30 - 34세,6837,5621,5554,4969
153,세종특별자치시,35 - 39세,6498,5469,4601,4064
154,세종특별자치시,40 - 44세,4485,4206,3955,3430
155,세종특별자치시,45 - 49세,3912,3632,3397,2600
156,세종특별자치시,50 - 54세,3244,2966,3180,2518
157,세종특별자치시,55 - 59세,2730,2481,2459,1963
158,세종특별자치시,60 - 64세,2112,2156,2157,1860
159,세종특별자치시,65 - 69세,1124,1202,1286,1024
160,세종특별자치시,70 - 74세,723,767,764,585
161,세종특별자치시,75 - 79세,464,489,454,374
162,세종특별자치시,80세이상,677,744,682,628
163,경기도,계,639254,704511,670399,541845
164,경기도,0 - 4세,31237,31001,24738,18225
165,경기도,5 - 9세,21707,24816,21594,15568
166,경기도,10 - 14세,15383,17046,15552,12328
167,경기도,15 - 19세,29261,28500,26739,23902
168,경기도,20 - 24세,62213,70965,70538,59667
169,경기도,25 - 29세,91434,100613,100775,85854
170,경기도,30 - 34세,77719,84304,82956,70541
171,경기도,35 - 39세,69842,74751,66169,50082
172,경기도,40 - 44세,46231,52747,49720,39968
173,경기도,45 - 49세,43181,46800,41140,31687
174,경기도,50 - 54세,36476,41203,40145,32646
175,경기도,55 - 59세,34015,37421,34725,26966
176,경기도,60 - 64세,28727,33922,34116,26243
177,경기도,65 - 69세,17265,21151,21917,17440
178,경기도,70 - 74세,12070,14033,14009,10380
179,경기도,75 - 79세,9297,10696,10132,7504
180,경기도,80세이상,13196,14542,15434,12844
181,강원특별자치도,계,77945,82291,83458,75874
182,강원특별자치도,0 - 4세,3302,3230,2661,2283
183,강원특별자치도,5 - 9세,2700,2909,2808,2378
184,강원특별자치도,10 - 14세,1782,1917,1849,1810
185,강원특별자치도,15 - 19세,4173,3261,3279,3508
186,강원특별자치도,20 - 24세,9507,9745,9965,9508
187,강원특별자치도,25 - 29세,10529,11395,11717,10666
188,강원특별자치도,30 - 34세,7444,7840,7856,7328
189,강원특별자치도,35 - 39세,6884,7015,6694,5511
190,강원특별자치도,40 - 44세,4967,5460,5721,5286
191,강원특별자치도,45 - 49세,5112,5502,5195,4545
192,강원특별자치도,50 - 54세,5129,5674,5735,5158
193,강원특별자치도,55 - 59세,5444,5618,5730,5141
194,강원특별자치도,60 - 64세,4673,5451,6159,5408
195,강원특별자치도,65 - 69세,2404,2970,3379,3237
196,강원특별자치도,70 - 74세,1461,1613,1750,1559
197,강원특별자치도,75 - 79세,1004,1161,1178,992
198,강원특별자치도,80세이상,1430,1530,1782,1556
199,충청북도,계,78012,82742,82870,76181
200,충청북도,0 - 4세,2979,2984,2393,1913
201,충청북도,5 - 9세,2411,2583,2261,1912
202,충청북도,10 - 14세,1899,1881,1669,1413
203,충청북도,15 - 19세,3902,3028,3088,3226
204,충청북도,20 - 24세,9479,10013,10554,10730
205,충청북도,25 - 29세,12332,13478,14056,13186
206,충청북도,30 - 34세,8208,8515,8377,8000
207,충청북도,35 - 39세,6772,7029,6501,5470
208,충청북도,40 - 44세,5048,5713,5243,4874
209,충청북도,45 - 49세,5232,5207,5209,4397
210,충청북도,50 - 54세,5044,5454,5442,4927
211,충청북도,55 - 59세,4911,5351,5342,4750
212,충청북도,60 - 64세,3934,4861,5387,4857
213,충청북도,65 - 69세,2100,2635,3055,2773
214,충청북도,70 - 74세,1213,1406,1511,1362
215,충청북도,75 - 79세,1000,1055,1035,801
216,충청북도,80세이상,1548,1549,1747,1590
