시점,부산광역시,대구광역시,인천광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2015,0.3492063492063492,0.36496350364963503,0.2389937106918239,0.2727272727272727,0.27722772277227725,0.25738636363636364,0.22756005056890014,0.21268163804491413,0.2243880326382593,0.2996566944580677,0.2751546727450342,0.24083627477599784,0.26731955023576354,0.34146341463414637
2016,0.3333333333333333,0.3956043956043956,0.19576719576719576,0.2620689655172414,0.31451612903225806,0.3521795425118688,0.2,0.19903498190591074,0.2339103417665335,0.27519762845849804,0.27975991997332444,0.22673766816143498,0.25668046669175765,0.2857142857142857
2017,0.21311475409836064,0.44,0.10810810810810811,0.2571428571428571,0.26732673267326734,0.2902727740607308,0.21951219512195122,0.21350613915416097,0.2226432970156324,0.28262910798122065,0.25403918872464765,0.22283078697030845,0.22678505364409915,0.2972027972027972
2018,0.2222222222222222,0.3893805309734513,0.15422885572139303,0.2755905511811024,0.225,0.28226857887874834,0.20247395833333334,0.17971662938105892,0.22019781363872984,0.2865384615384615,0.25177185285183934,0.21622464898595944,0.22640673460345592,0.3175355450236967
2019,0.25,0.3925925925925926,0.12886597938144329,0.1375,0.17475728155339806,0.21881682109764788,0.20014716703458427,0.20413223140495868,0.18458884416331225,0.22611980572045332,0.22916666666666666,0.19598155467720685,0.2154241645244216,0.259375
2020,0.36923076923076925,0.3402061855670103,0.16568047337278108,0.1834862385321101,0.2828282828282828,0.30842163970998326,0.18806646525679757,0.1856060606060606,0.19346978557504874,0.22066198595787362,0.2084942084942085,0.18086124401913875,0.19339111592632718,0.3273809523809524
2021,0.3488372093023256,0.2972972972972973,0.2052401746724891,0.20382165605095542,0.2462686567164179,0.23379989631933645,0.18585298196948682,0.15099519560741248,0.17330677290836655,0.20417287630402384,0.19953663481030987,0.18035030103995622,0.19305856832971802,0.30678466076696165
2022,0.14285714285714285,0.2815533980582524,0.12337662337662338,0.125,0.1553398058252427,0.2786016949152542,0.15231259968102073,0.1521216973578863,0.15381019167835436,0.19266625233064014,0.1644867221561633,0.15616520952668073,0.15786901270772238,0.32722513089005234
