"행정구역(시군구)별","연령별",2019,2020,2021,2022
"대전광역시","70 - 74세",3576,4025,3561,3273
"대전광역시","75 - 79세",2800,2971,2551,2235
"대전광역시","80세이상",4222,4512,4171,3747
"울산광역시","계",142056,136112,129880,107747
"울산광역시","0 - 4세",8356,6291,5246,4015
"울산광역시","5 - 9세",6309,5530,4853,3950
"울산광역시","10 - 14세",4351,4092,3703,2862
"울산광역시","15 - 19세",5735,5030,4337,3751
"울산광역시","20 - 24세",11905,11989,12203,10691
"울산광역시","25 - 29세",18348,18994,19438,17164
"울산광역시","30 - 34세",16288,15549,15081,13476
"울산광역시","35 - 39세",15196,13499,11591,9067
"울산광역시","40 - 44세",10630,10126,9636,8192
"울산광역시","45 - 49세",10573,9856,8749,6847
"울산광역시","50 - 54세",10004,9578,9219,7500
"울산광역시","55 - 59세",8737,8527,8004,6290
"울산광역시","60 - 64세",6567,6968,7270,5562
"울산광역시","65 - 69세",3419,4052,4209,3352
"울산광역시","70 - 74세",1999,2269,2371,1875
"울산광역시","75 - 79세",1544,1602,1597,1203
"울산광역시","80세이상",2095,2160,2373,1950
"세종특별자치시","계",82398,78934,76912,65529
"세종특별자치시","0 - 4세",5946,5012,4281,3747
"세종특별자치시","5 - 9세",4819,4730,4352,3746
"세종특별자치시","10 - 14세",3574,3392,3267,2896
"세종특별자치시","15 - 19세",3552,3231,3188,2717
"세종특별자치시","20 - 24세",5370,5435,5610,4787
"세종특별자치시","25 - 29세",8816,8793,9175,7921
"세종특별자치시","30 - 34세",10093,9166,9252,8286
"세종특별자치시","35 - 39세",10263,9214,8092,7023
"세종특별자치시","40 - 44세",7140,7047,6974,5899
"세종특별자치시","45 - 49세",6227,5964,5696,4525
"세종특별자치시","50 - 54세",4961,4670,4993,4031
"세종특별자치시","55 - 59세",4049,3934,3765,2997
"세종특별자치시","60 - 64세",3089,3366,3347,2860
"세종특별자치시","65 - 69세",1672,1891,1933,1620
"세종특별자치시","70 - 74세",1131,1190,1180,937
"세종특별자치시","75 - 79세",708,754,735,585
"세종특별자치시","80세이상",988,1145,1072,952
"경기도","계",1940962,2152572,2036215,1645990
"경기도","0 - 4세",104523,105000,87919,65893
"경기도","5 - 9세",85027,94816,84674,61813
"경기도","10 - 14세",65873,70892,65504,50592
"경기도","15 - 19세",90628,92069,81818,68881
"경기도","20 - 24세",154417,175607,169305,140580
"경기도","25 - 29세",234614,263309,264479,223076
"경기도","30 - 34세",217615,239108,236234,202531
"경기도","35 - 39세",210557,224007,200459,152260
"경기도","40 - 44세",151770,170686,161423,130360
"경기도","45 - 49세",149059,161079,141719,109621
"경기도","50 - 54세",127548,145401,138942,114038
"경기도","55 - 59세",112748,127207,117506,93060
"경기도","60 - 64세",87864,105492,106162,86291
"경기도","65 - 69세",50589,63406,66146,55064
"경기도","70 - 74세",35232,41904,41121,32066
"경기도","75 - 79세",27131,31246,29546,22919
"경기도","80세이상",35767,41343,43258,36945
"강원특별자치도","계",217626,223354,217103,194864
"강원특별자치도","0 - 4세",10310,10026,8063,7173
"강원특별자치도","5 - 9세",10927,10714,9826,8591
"강원특별자치도","10 - 14세",8291,8167,7386,6750
"강원특별자치도","15 - 19세",11918,10290,9285,8824
"강원특별자치도","20 - 24세",20193,20931,20546,19068
"강원특별자치도","25 - 29세",24073,25997,26808,24107
"강원특별자치도","30 - 34세",19713,20303,19997,18695
"강원특별자치도","35 - 39세",19951,19783,17677,14809
"강원특별자치도","40 - 44세",16010,16502,16034,14780
"강원특별자치도","45 - 49세",16523,16847,15124,13213
"강원특별자치도","50 - 54세",15283,16231,15807,14182
"강원특별자치도","55 - 59세",14909,15051,14600,12850
"강원특별자치도","60 - 64세",11864,13246,14535,12864
"강원특별자치도","65 - 69세",6151,7227,8365,7648
"강원특별자치도","70 - 74세",3963,4123,4368,3815
"강원특별자치도","75 - 79세",3108,3296,3384,2769
"강원특별자치도","80세이상",4439,4620,5298,4726
"충청북도","계",211396,229895,214300,185419
"충청북도","0 - 4세",10424,10249,7609,6029
"충청북도","5 - 9세",9789,10078,8363,6777
"충청북도","10 - 14세",7724,7611,6355,5239
"충청북도","15 - 19세",10507,9488,8401,7270
"충청북도","20 - 24세",20269,22480,21647,19951
"충청북도","25 - 29세",27102,31761,31565,28729
"충청북도","30 - 34세",21521,23565,22007,20404
"충청북도","35 - 39세",19933,20742,17819,14337
"충청북도","40 - 44세",15169,16620,14656,12890
"충청북도","45 - 49세",15865,16177,14549,11667
"충청북도","50 - 54세",14705,16483,15233,12944
"충청북도","55 - 59세",13144,14671,13924,11568
"충청북도","60 - 64세",9984,12208,13020,11221
"충청북도","65 - 69세",5322,6618,7600,6616
"충청북도","70 - 74세",3191,3803,3950,3371
"충청북도","75 - 79세",2680,2970,2886,2215
"충청북도","80세이상",4067,4371,4716,4191
"충청남도","계",258790,287127,282195,260488
"충청남도","0 - 4세",12060,12475,10684,9358
"충청남도","5 - 9세",10699,11500,10930,9968
"충청남도","10 - 14세",9100,9348,9225,8766
"충청남도","15 - 19세",12517,12220,11537,11399
"충청남도","20 - 24세",24490,27267,27356,25878
"충청남도","25 - 29세",34410,38749,38702,36035
"충청남도","30 - 34세",27547,30760,29548,27785
"충청남도","35 - 39세",24801,26957,24639,21467
"충청남도","40 - 44세",19086,21808,21485,20110
"충청남도","45 - 49세",19684,21154,20142,17806
"충청남도","50 - 54세",17302,19801,20124,18273
"충청남도","55 - 59세",15870,18278,17612,15900
"충청남도","60 - 64세",11969,14640,16245,15101
"충청남도","65 - 69세",6480,8117,9136,8850
"충청남도","70 - 74세",4250,4996,5469,5238
"충청남도","75 - 79세",3412,3522,3572,3175
"충청남도","80세이상",5113,5535,5789,5379
"전라북도","계",228775,249083,223710,199432
"전라북도","0 - 4세",10566,10262,7691,6366
"전라북도","5 - 9세",11319,11764,9513,7984
"전라북도","10 - 14세",9738,10009,8225,7709
"전라북도","15 - 19세",11792,11888,10067,8872
"전라북도","20 - 24세",20414,22824,22052,19459
"전라북도","25 - 29세",24658,27858,27911,25473
"전라북도","30 - 34세",19920,21503,20396,18782
"전라북도","35 - 39세",20589,22071,17849,14969
"전라북도","40 - 44세",17475,19215,16175,14816
"전라북도","45 - 49세",18157,19866,16396,14124
"전라북도","50 - 54세",16208,18027,16242,15048
"전라북도","55 - 59세",14877,16178,14355,12756
"전라북도","60 - 64세",11595,13552,13651,12541
"전라북도","65 - 69세",7083,8228,8306,7580
"전라북도","70 - 74세",4765,5721,5414,4679
"전라북도","75 - 79세",3865,3958,3503,3040
"전라북도","80세이상",5754,6159,5964,5234
"전라남도","계",224483,239016,223619,191956
"전라남도","0 - 4세",9585,9570,7892,6202
"전라남도","5 - 9세",10197,11360,10163,8329
"전라남도","10 - 14세",8313,8762,8233,6782
"전라남도","15 - 19세",11695,10427,9628,7878
"전라남도","20 - 24세",20099,20993,19793,16903
"전라남도","25 - 29세",25450,26587,26679,24123
"전라남도","30 - 34세",19398,20357,19294,17130
"전라남도","35 - 39세",19826,21565,18221,14715
"전라남도","40 - 44세",16617,18593,16910,14303
"전라남도","45 - 49세",18116,19467,16908,14050
"전라남도","50 - 54세",17565,19151,18251,15711
"전라남도","55 - 59세",15981,17095,16634,14350
"전라남도","60 - 64세",12020,13916,14318,13114
"전라남도","65 - 69세",6641,7537,7671,7085
"전라남도","70 - 74세",4464,4795,4690,4158
"전라남도","75 - 79세",3398,3435,3055,2536
"전라남도","80세이상",5118,5406,5279,4587
"경상북도","계",306511,317701,317866,263156
"경상북도","0 - 4세",14463,13235,11657,7964
"경상북도","5 - 9세",13766,13442,13124,9767
"경상북도","10 - 14세",9981,9851,9797,7826
"경상북도","15 - 19세",14134,13109,13340,11363
"경상북도","20 - 24세",27798,28755,31124,27553
"경상북도","25 - 29세",36914,38972,40927,35426
"경상북도","30 - 34세",30528,31108,30853,25773
"경상북도","35 - 39세",29197,28672,26689,20081
"경상북도","40 - 44세",21968,23566,22992,18911
"경상북도","45 - 49세",22978,23634,22258,17475
"경상북도","50 - 54세",21960,23576,23422,19456
"경상북도","55 - 59세",20783,22187,21736,18209
"경상북도","60 - 64세",16522,19021,20285,17663
"경상북도","65 - 69세",9080,10542,11549,10450
"경상북도","70 - 74세",5351,6141,6496,5686
"경상북도","75 - 79세",4394,4549,4320,3369
"경상북도","80세이상",6694,7341,7297,6184
"경상남도","계",396251,403339,374782,323211
"경상남도","0 - 4세",20934,17968,14056,10599
"경상남도","5 - 9세",18387,18191,15607,12009
"경상남도","10 - 14세",13698,13560,12167,10307
"경상남도","15 - 19세",19223,18154,15451,13820
"경상남도","20 - 24세",33235,35039,34557,31041
"경상남도","25 - 29세",45295,47452,47044,42245
"경상남도","30 - 34세",40226,40087,37684,33763
"경상남도","35 - 39세",40401,38625,32527,26049
"경상남도","40 - 44세",30213,31286,28656,24809
"경상남도","45 - 49세",31128,31248,27212,22217
"경상남도","50 - 54세",28473,29449,27683,24415
"경상남도","55 - 59세",25583,26307,24122,20777
"경상남도","60 - 64세",19802,22428,23525,20332
"경상남도","65 - 69세",10675,12885,13634,12392
"경상남도","70 - 74세",6560,7588,7866,6998
"경상남도","75 - 79세",5175,5391,4940,4117
"경상남도","80세이상",7243,7681,8051,7321
"제주특별자치도","계",94966,98114,94979,86865
"제주특별자치도","0 - 4세",4751,4520,4034,3307
"제주특별자치도","5 - 9세",5662,5862,5754,5022
"제주특별자치도","10 - 14세",3809,3819,3911,3736
"제주특별자치도","15 - 19세",4020,3929,3383,3136
"제주특별자치도","20 - 24세",7497,7965,7162,6817
"제주특별자치도","25 - 29세",10380,11188,11148,10390
"제주특별자치도","30 - 34세",8974,9333,9029,8420
"제주특별자치도","35 - 39세",10494,10447,9622,8305
"제주특별자치도","40 - 44세",8433,8694,8894,8384
"제주특별자치도","45 - 49세",8452,8536,8027,6963
"제주특별자치도","50 - 54세",7002,7553,7123,6726
"제주특별자치도","55 - 59세",5810,5880,5794,5255
"제주특별자치도","60 - 64세",4205,4494,4864,4566
"제주특별자치도","65 - 69세",2148,2408,2612,2530
"제주특별자치도","70 - 74세",1316,1350,1368,1316
"제주특별자치도","75 - 79세",846,893,918,759
"제주특별자치도","80세이상",1167,1243,1336,1233
