,구별,연령별,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
37,부산광역시,계,130686,118494,117467,107383,109594,121538,116166,104892
38,부산광역시,0 - 4세,6771,5858,5417,4700,4316,4601,3683,2970
39,부산광역시,5 - 9세,4611,3928,3468,3314,3303,3761,3178,2715
40,부산광역시,10 - 14세,3636,2736,2384,2290,2302,2368,2182,1975
41,부산광역시,15 - 19세,6715,5945,5794,5631,5849,5376,5171,5512
42,부산광역시,20 - 24세,16582,16463,16470,16340,17932,19967,20458,19959
43,부산광역시,25 - 29세,17424,16892,17814,17184,18281,19823,20025,18115
44,부산광역시,30 - 34세,17263,14996,13643,11585,11425,13256,12841,11894
45,부산광역시,35 - 39세,12508,11499,11696,10167,10035,11072,9726,8011
46,부산광역시,40 - 44세,10227,8496,8233,6969,7014,8084,7713,6874
47,부산광역시,45 - 49세,8402,7455,7508,6661,6573,7060,6369,5317
48,부산광역시,50 - 54세,7079,5986,5876,5214,5299,6244,5927,5191
49,부산광역시,55 - 59세,5987,5633,5755,5152,4959,5465,4984,4413
50,부산광역시,60 - 64세,4396,4305,4505,4029,4255,5399,4973,4230
51,부산광역시,65 - 69세,2801,2620,2831,2557,2626,3222,3144,2787
52,부산광역시,70 - 74세,2177,1832,1943,1832,1699,1967,1963,1702
53,부산광역시,75 - 79세,1759,1500,1714,1454,1437,1517,1329,1114
54,부산광역시,80세이상,2348,2350,2416,2304,2289,2356,2500,2113
55,대구광역시,계,92239,87506,85039,85537,81250,91180,83076,81567
56,대구광역시,0 - 4세,4884,4885,4476,4129,3624,3310,2789,2701
57,대구광역시,5 - 9세,3291,3170,3046,2845,2573,2703,2523,2526
58,대구광역시,10 - 14세,2542,2204,2011,1807,1794,1710,1695,1872
59,대구광역시,15 - 19세,4159,3808,3711,3576,3596,3671,3384,4728
60,대구광역시,20 - 24세,10194,10455,10546,10753,11067,14198,12823,14318
61,대구광역시,25 - 29세,13132,12937,13423,14099,13775,15859,15158,14001
62,대구광역시,30 - 34세,12353,11235,10234,10002,9165,9817,9520,9252
63,대구광역시,35 - 39세,8779,8432,8400,8289,7689,7803,6913,6320
64,대구광역시,40 - 44세,7353,6528,6025,5702,5348,5958,5446,5412
