"행정구역(시군구)별","연령별",2015,2016,2017,2018,2019,2020,2021,2022
"인천광역시","45 - 49세",10531,10396,10040,10036,9959,10006,9869,9260
"인천광역시","50 - 54세",9624,9004,8191,8389,8526,8616,9172,9278
"인천광역시","55 - 59세",8267,8199,7970,8439,7739,8012,7934,7648
"인천광역시","60 - 64세",5551,5675,5685,6135,6303,6938,7689,7462
"인천광역시","65 - 69세",3687,3583,3460,3592,3565,4153,4642,4677
"인천광역시","70 - 74세",2898,2639,2587,2604,2411,2739,2912,2624
"인천광역시","75 - 79세",2323,2161,2050,2167,2017,1998,2202,1822
"인천광역시","80세이상",2747,2897,2901,3202,3094,3071,3532,3287
"광주광역시","계",73826,67594,65964,69189,67778,67646,64721,55458
"광주광역시","0 - 4세",4067,3811,3827,3574,3236,2972,2635,1798
"광주광역시","5 - 9세",2880,2661,2510,2526,2276,2152,1894,1647
"광주광역시","10 - 14세",2539,2017,1899,1806,1633,1569,1343,1311
"광주광역시","15 - 19세",3767,3505,3387,3269,3212,2987,2899,2654
"광주광역시","20 - 24세",7985,8220,7966,8775,9194,10252,10240,8947
"광주광역시","25 - 29세",9540,9233,9271,10405,10981,11210,11407,9728
"광주광역시","30 - 34세",9045,7985,7354,7233,6870,6950,6786,5881
"광주광역시","35 - 39세",6879,6131,6102,6416,6061,5770,5170,4197
"광주광역시","40 - 44세",6053,4853,4835,4736,4482,4423,4142,3584
"광주광역시","45 - 49세",4996,4376,4319,4507,4384,4342,3682,3194
"광주광역시","50 - 54세",4304,3659,3494,3779,3779,3735,3552,3111
"광주광역시","55 - 59세",3618,3420,3380,3762,3445,3400,3094,2663
"광주광역시","60 - 64세",2473,2377,2281,2627,2681,2870,2912,2467
"광주광역시","65 - 69세",1715,1531,1509,1750,1586,1575,1600,1357
"광주광역시","70 - 74세",1313,1133,1118,1132,1092,1079,1100,936
"광주광역시","75 - 79세",1044,1065,1076,1126,1056,833,797,627
"광주광역시","80세이상",1608,1617,1636,1766,1810,1527,1468,1356
"대전광역시","계",81165,80376,79793,79561,78429,81741,80030,75421
"대전광역시","0 - 4세",4672,4530,4176,3926,3311,3127,2845,2652
"대전광역시","5 - 9세",3104,2840,2737,2476,2304,2312,2038,1920
"대전광역시","10 - 14세",2354,1964,1890,1750,1666,1611,1405,1381
"대전광역시","15 - 19세",4369,4228,4406,4363,4309,4055,3861,3850
"대전광역시","20 - 24세",10316,11136,11263,11747,12620,14210,15111,14175
"대전광역시","25 - 29세",12607,13008,13237,13792,14326,15157,15515,14958
"대전광역시","30 - 34세",10946,10605,9934,9156,8883,9239,9493,9053
"대전광역시","35 - 39세",7518,7393,7532,7240,6936,6867,6071,5618
"대전광역시","40 - 44세",6004,5501,5251,5087,4593,4866,4540,4219
"대전광역시","45 - 49세",4778,4657,4760,4752,4679,4547,4072,3608
"대전광역시","50 - 54세",4005,3747,3699,3768,3840,4090,3828,3762
"대전광역시","55 - 59세",3376,3562,3506,3701,3374,3500,3136,2988
"대전광역시","60 - 64세",2220,2447,2581,2709,2767,3050,3020,2829
"대전광역시","65 - 69세",1440,1485,1486,1554,1503,1748,1771,1583
"대전광역시","70 - 74세",1155,1002,1025,1043,1001,1104,1050,938
"대전광역시","75 - 79세",946,902,899,958,858,815,791,609
"대전광역시","80세이상",1355,1369,1411,1539,1459,1443,1483,1278
"울산광역시","계",54262,44848,40410,39230,40073,40475,39412,36584
"울산광역시","0 - 4세",2724,2260,2014,1771,1691,1328,1040,964
"울산광역시","5 - 9세",1753,1388,1320,1220,1222,1196,881,867
"울산광역시","10 - 14세",1447,1032,850,825,879,858,723,695
"울산광역시","15 - 19세",2170,1887,1599,1550,1545,1412,1293,1300
"울산광역시","20 - 24세",6172,5674,4981,4837,4941,5432,6114,5840
"울산광역시","25 - 29세",8750,7541,6650,6791,7343,7674,7937,7591
"울산광역시","30 - 34세",7744,6055,5193,4574,4672,4699,4464,4389
"울산광역시","35 - 39세",5250,4339,4151,4034,3901,3670,3130,2778
"울산광역시","40 - 44세",4318,3195,2892,2685,2665,2785,2536,2429
"울산광역시","45 - 49세",3513,2754,2567,2478,2555,2505,2263,1914
"울산광역시","50 - 54세",3020,2293,2054,2154,2209,2296,2231,2062
"울산광역시","55 - 59세",2487,2058,1956,2066,2004,1981,1894,1610
"울산광역시","60 - 64세",1556,1438,1362,1433,1592,1735,1844,1533
"울산광역시","65 - 69세",954,798,824,778,878,952,1013,876
"울산광역시","70 - 74세",798,569,535,521,536,567,606,513
"울산광역시","75 - 79세",681,616,561,543,518,484,453,396
"울산광역시","80세이상",925,951,901,970,922,901,990,827
"세종특별자치시","계",70004,50506,58828,57983,54017,48889,46875,40237
"세종특별자치시","0 - 4세",6010,3796,4415,4003,3556,2656,2163,1843
"세종특별자치시","5 - 9세",5602,3277,3841,3666,3071,2682,2320,2112
"세종특별자치시","10 - 14세",4253,2287,2802,2509,2085,1888,1677,1594
"세종특별자치시","15 - 19세",3180,2164,2601,2596,2213,1890,1833,1608
"세종특별자치시","20 - 24세",4037,3520,4064,4303,3943,3931,4156,3670
"세종특별자치시","25 - 29세",5541,5102,5677,6253,6343,6109,6237,5395
"세종특별자치시","30 - 34세",8759,6465,7189,6977,6837,5621,5554,4969
"세종특별자치시","35 - 39세",8659,6106,7195,7015,6498,5469,4601,4064
"세종특별자치시","40 - 44세",7602,4679,5468,5007,4485,4206,3955,3430
"세종특별자치시","45 - 49세",4687,3594,4302,4122,3912,3632,3397,2600
"세종특별자치시","50 - 54세",3692,2834,3243,3154,3244,2966,3180,2518
"세종특별자치시","55 - 59세",2989,2414,2939,3013,2730,2481,2459,1963
"세종특별자치시","60 - 64세",1932,1704,2018,2265,2112,2156,2157,1860
"세종특별자치시","65 - 69세",1168,984,1164,1221,1124,1202,1286,1024
"세종특별자치시","70 - 74세",757,617,711,669,723,767,764,585
"세종특별자치시","75 - 79세",519,433,527,533,464,489,454,374
"세종특별자치시","80세이상",617,530,672,677,677,744,682,628
"경기도","계",646816,657492,629137,675213,639254,704511,670399,541845
"경기도","0 - 4세",38009,38716,35587,38000,31237,31001,24738,18225
"경기도","5 - 9세",23034,23690,22938,25172,21707,24816,21594,15568
"경기도","10 - 14세",18464,16968,15456,17259,15383,17046,15552,12328
"경기도","15 - 19세",31022,30934,29218,29063,29261,28500,26739,23902
"경기도","20 - 24세",57230,60394,57323,59364,62213,70965,70538,59667
"경기도","25 - 29세",78637,80678,81326,89698,91434,100613,100775,85854
"경기도","30 - 34세",90497,86723,80354,82804,77719,84304,82956,70541
"경기도","35 - 39세",66703,69668,68918,77002,69842,74751,66169,50082
"경기도","40 - 44세",51477,50533,47107,50586,46231,52747,49720,39968
"경기도","45 - 49세",40688,42890,41980,45271,43181,46800,41140,31687
"경기도","50 - 54세",37708,37679,34960,37051,36476,41203,40145,32646
"경기도","55 - 59세",35100,37110,35133,37224,34015,37421,34725,26966
"경기도","60 - 64세",25425,27632,27091,30186,28727,33922,34116,26243
"경기도","65 - 69세",17851,18483,17682,18803,17265,21151,21917,17440
"경기도","70 - 74세",13640,13192,12339,13183,12070,14033,14009,10380
"경기도","75 - 79세",9723,9948,9621,10848,9297,10696,10132,7504
"경기도","80세이상",11608,12254,12104,13699,13196,14542,15434,12844
"강원특별자치도","계",87107,82563,80690,76312,77945,82291,83458,75874
"강원특별자치도","0 - 4세",4354,4056,3733,3425,3302,3230,2661,2283
"강원특별자치도","5 - 9세",3178,2980,2750,2671,2700,2909,2808,2378
"강원특별자치도","10 - 14세",2508,2107,1778,1782,1782,1917,1849,1810
"강원특별자치도","15 - 19세",5220,4689,4430,4040,4173,3261,3279,3508
"강원특별자치도","20 - 24세",12184,10085,10409,8928,9507,9745,9965,9508
"강원특별자치도","25 - 29세",10514,9798,10112,9843,10529,11395,11717,10666
"강원특별자치도","30 - 34세",9277,8840,8042,7243,7444,7840,7856,7328
"강원특별자치도","35 - 39세",7251,6945,6979,6881,6884,7015,6694,5511
"강원특별자치도","40 - 44세",6326,5876,5300,5014,4967,5460,5721,5286
"강원특별자치도","45 - 49세",5614,5758,5490,5180,5112,5502,5195,4545
"강원특별자치도","50 - 54세",5665,5540,5343,5027,5129,5674,5735,5158
"강원특별자치도","55 - 59세",5276,5699,5729,5550,5444,5618,5730,5141
"강원특별자치도","60 - 64세",3568,4028,4251,4400,4673,5451,6159,5408
"강원특별자치도","65 - 69세",2175,2209,2228,2340,2404,2970,3379,3237
"강원특별자치도","70 - 74세",1565,1542,1536,1445,1461,1613,1750,1559
"강원특별자치도","75 - 79세",1114,1078,1134,1127,1004,1161,1178,992
"강원특별자치도","80세이상",1318,1333,1446,1416,1430,1530,1782,1556
"충청북도","계",81362,78523,77352,80016,78012,82742,82870,76181
"충청북도","0 - 4세",4071,3671,3494,3387,2979,2984,2393,1913
"충청북도","5 - 9세",2782,2688,2551,2576,2411,2583,2261,1912
"충청북도","10 - 14세",2192,1967,1905,1848,1899,1881,1669,1413
"충청북도","15 - 19세",4332,3979,3903,3505,3902,3028,3088,3226
"충청북도","20 - 24세",9289,9249,9111,9335,9479,10013,10554,10730
"충청북도","25 - 29세",10801,10412,10824,12413,12332,13478,14056,13186
"충청북도","30 - 34세",9724,8901,8307,8377,8208,8515,8377,8000
"충청북도","35 - 39세",7225,6744,6834,7277,6772,7029,6501,5470
"충청북도","40 - 44세",6143,5655,5437,5481,5048,5713,5243,4874
"충청북도","45 - 49세",5486,5317,5246,5447,5232,5207,5209,4397
"충청북도","50 - 54세",5398,5070,4807,4924,5044,5454,5442,4927
"충청북도","55 - 59세",4966,5366,5210,5264,4911,5351,5342,4750
"충청북도","60 - 64세",3314,3710,3881,4070,3934,4861,5387,4857
"충청북도","65 - 69세",1946,1945,2064,2098,2100,2635,3055,2773
"충청북도","70 - 74세",1367,1385,1319,1317,1213,1406,1511,1362
"충청북도","75 - 79세",1025,1050,1052,1186,1000,1055,1035,801
"충청북도","80세이상",1301,1414,1407,1511,1548,1549,1747,1590
"충청남도","계",126456,123758,127126,122640,114837,123761,125686,116696
"충청남도","0 - 4세",6473,6233,6379,5402,4241,4152,3726,3166
"충청남도","5 - 9세",4388,4343,4507,4105,3472,3666,3431,3151
"충청남도","10 - 14세",3563,3305,3404,3120,2850,2834,3024,2649
"충청남도","15 - 19세",5989,5395,5947,5745,5483,4781,4785,5093
"충청남도","20 - 24세",13368,13196,13380,13130,13196,14221,14722,14660
"충청남도","25 - 29세",17497,17035,17704,18109,17578,18847,19213,17914
"충청남도","30 - 34세",15566,14581,14475,13123,12026,12875,12743,11901
"충청남도","35 - 39세",11213,11594,12191,11515,10218,10747,10215,8903
"충청남도","40 - 44세",9613,9205,9372,8608,7715,8765,8992,8103
"충청남도","45 - 49세",8719,8433,8587,8634,8159,8394,8385,7268
"충청남도","50 - 54세",8338,7712,7895,7710,7412,8206,8648,7966
"충청남도","55 - 59세",7298,7808,7856,7903,7316,8305,7967,7483
"충청남도","60 - 64세",5114,5548,5803,5926,5815,7211,8127,7532
"충청남도","65 - 69세",3183,3292,3546,3373,3221,4012,4515,4430
"충청남도","70 - 74세",2311,2180,2114,2113,2053,2505,2739,2513
"충청남도","75 - 79세",1729,1628,1661,1723,1667,1664,1755,1471
"충청남도","80세이상",2094,2270,2305,2401,2415,2576,2699,2493
"전라북도","계",68756,66531,64709,59978,58418,62625,61478,55511
"전라북도","0 - 4세",3657,3456,2980,2580,2218,2119,1767,1427
"전라북도","5 - 9세",2565,2554,2209,1997,1880,2019,1709,1432
"전라북도","10 - 14세",2148,1918,1774,1568,1484,1651,1447,1351
"전라북도","15 - 19세",3584,3394,3804,3147,3050,2883,2806,2620
"전라북도","20 - 24세",7207,7138,7735,6686,6811,7598,8074,7364
