,합계
부산광역시,84960
대구광역시,130644
인천광역시,37428
울산광역시,80477
세종특별자치시,43284
경기도,1094742
강원도,239029
충청북도,247960
충청남도,390793
전라북도,155064
전라남도,304362
경상북도,409328
경상남도,435336
제주특별자치도,96871
귀촌인,3750278
