"행정구역(시군구)별",2019,2019,2020,2020,2021,2021,2022,2022
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"청양군",3111,3341,2954,3339,2894,2894,2851,2595
"홍성군",10037,10316,10504,10487,9991,10051,9009,9446
"예산군",6859,7098,7249,7697,7055,7310,8182,6624
"태안군",5915,5977,6082,6159,6194,6326,5542,5061
"전라북도",228775,241523,249083,257577,223710,229511,199432,204547
"전주시",99640,96550,107423,104277,93521,92637,80500,84656
"군산시",33808,35805,40013,41781,35364,36211,30032,31361
"익산시",33063,38614,34814,39411,35018,37660,29946,32296
"정읍시",11938,12916,13017,14149,10662,11317,10387,10675
"남원시",8960,9667,10765,10952,8239,8779,7570,8208
"김제시",8562,9313,9078,9722,9426,9738,8913,7449
"완주군",9861,11773,11482,11729,10699,10490,12141,10074
"진안군",2436,2511,2565,2698,2304,2378,2124,2218
"무주군",2018,2050,2142,2134,2065,2059,1816,1712
"장수군",2012,2593,1914,2096,1738,1879,1582,1660
"임실군",3800,4695,2789,4133,2661,2911,2803,2672
"순창군",2736,3323,2913,3265,2469,3010,2680,2403
"고창군",4953,6031,5005,5451,4920,5300,4552,4758
"부안군",4988,5682,5163,5779,4624,5142,4386,4405
"전라남도",224483,233271,239016,248770,223619,228106,191956,192301
"목포시",30963,33170,35366,40621,31899,36039,27306,27691
"여수시",38548,38853,38167,40171,35389,37565,32884,33628
"순천시",38768,38815,42742,40029,35081,35219,30495,32442
"나주시",17743,16745,18111,16879,17445,15605,14733,14335
"광양시",20669,20869,17189,22419,18956,20117,16560,14700
"담양군",5470,5513,5596,5543,5979,5529,4681,4523
"곡성군",2648,3098,2599,3077,2694,2802,2387,2330
"구례군",3051,3401,2893,3481,2742,2849,2414,2617
"고흥군",5482,5596,5627,5827,5090,5234,4993,4704
"보성군",3212,4145,3562,4003,3221,3534,2832,3058
