"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó
"¾çÆò±º","±Í³ó°¡±¸¿ø¼ö (¸í)",203,38,33,71,48,13,278,134,13,60,59,12,256,55,23,73,82,23,206,28,20,61,84,13
"°­¿øµµ","±Í³ó°¡±¸¿ø¼ö (¸í)",1359,272,174,469,358,86,1324,249,154,430,400,91,1442,268,170,443,472,89,1254,191,131,380,464,88
"ÃáÃµ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",89,19,12,31,22,5,93,21,14,28,22,8,102,22,6,26,40,8,78,13,7,19,36,X
"¿øÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",166,50,19,46,42,9,147,48,22,50,22,5,143,42,15,44,36,6,138,29,18,40,40,11
"°­¸ª½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",100,24,21,33,18,4,84,19,12,27,21,5,94,19,17,23,24,11,88,23,9,22,29,5
"»ïÃ´½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",56,11,8,21,12,4,44,6,5,15,16,X,65,10,4,28,21,X,53,4,6,19,18,6
"È«Ãµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",163,31,17,58,48,9,171,32,14,61,53,11,229,28,31,63,91,16,155,9,11,57,60,18
"È¾¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",178,25,21,68,46,18,157,15,6,56,59,21,173,27,20,48,65,13,122,14,13,40,47,8
"¿µ¿ù±º","±Í³ó°¡±¸¿ø¼ö (¸í)",80,12,14,23,29,X,79,6,7,31,32,X,102,18,11,38,30,5,104,12,8,36,40,8
"ÆòÃ¢±º","±Í³ó°¡±¸¿ø¼ö (¸í)",90,21,11,22,27,9,121,17,11,37,43,13,112,25,14,37,28,8,131,15,12,41,52,11
"Á¤¼±±º","±Í³ó°¡±¸¿ø¼ö (¸í)",103,14,9,44,28,8,108,18,13,33,37,7,81,9,12,34,26,0,79,9,8,27,29,6
"Ã¶¿ø±º","±Í³ó°¡±¸¿ø¼ö (¸í)",42,13,7,12,8,X,40,7,4,11,17,X,48,9,7,12,14,6,46,13,7,9,16,X
"È­Ãµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",72,16,8,18,25,5,70,11,9,22,22,6,57,7,7,15,22,6,67,11,6,15,30,5
