,Unnamed: 0,합계
0,부산광역시,84960
1,대구광역시,130644
2,인천광역시,37428
3,울산광역시,80477
4,세종특별자치시,43284
5,경기도,1094742
6,강원도,239029
7,충청북도,247960
8,충청남도,390793
9,전라북도,155064
10,전라남도,304362
11,경상북도,409328
12,경상남도,435336
13,제주특별자치도,96871
14,귀촌인,3750278
